							Playing Time				Performance						Per 90 Minutes					
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
1	Henri Aalto	fi FIN	DF	FC Honka	30	1989	14	12	1,093	12.tammi	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
2	Mika Ääritalo	fi FIN	FW	TPS	34	1985	17	12	955	10.kesä	4	0	0	0	2	0	0.38	0.00	0.38	0.38	0.38	Matches
3	Albion Ademi	al ALB	FW	IFK Mariehamn	20	1999	22	22	1,842	20.touko	14	0	4	4	0	0	0.68	0.00	0.68	0.49	0.49	Matches
4	Bismark Adjei-Boateng	gh GHA	MF	KuPS	25	1994	19	18	1,606	17.elo	2	0	0	0	5	0	0.11	0.00	0.11	0.11	0.11	Matches
5	Sampo Ala	fi FIN	FW	RoPS	18	2002	13	3	274	3.0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
6	Lauri Ala-Myllymäki	fi FIN	MF	Ilves	22	1997	21	18	1,553	17.maalis	7	0	3	3	2	0	0.41	0.00	0.41	0.23	0.23	Matches
7	Juan Alegría	co COL	FW	FC Honka	17	2002	6	0	34	0.4	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
8	Masahudu Alhassan	gh GHA	DF,MF	TPS	27	1992	17	17	1,481	16.touko	1	0	0	0	4	0	0.06	0.00	0.06	0.06	0.06	Matches
9	Nikolai Alho	fi FIN	FW,MF	HJK	26	1993	21	18	1,646	18.maalis	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
10	Mikael Almen	fi FIN	DF	Ilves	19	2000	19	16	1,442	16.0	2	0	0	0	1	0	0.12	0.00	0.12	0.12	0.12	Matches
11	Tuukka Andberg	fi FIN	DF	HIFK	21	1998	7	6	558	6.helmi	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
12	Anthony Annan	gh GHA	MF	Inter Turku	33	1986	16	9	841	9.maalis	1	0	0	0	2	0	0.11	0.00	0.11	0.11	0.11	Matches
13	Leevi Antinaho	fi FIN	MF	Haka	19	2000	2	0	52	0.6	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
14	Doni Arifi	fi FIN	MF	Ilves	17	2002	9	5	346	3.elo	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
15	Kari Arkivuo	fi FIN	DF,MF	Lahti	36	1983	21	19	1,612	17.syys	1	0	0	0	1	0	0.06	0.00	0.06	0.06	0.06	Matches
16	Edmund Arko-Mensah	gh GHA	DF	FC Honka	18	2001	17	2	351	3.syys	0	0	0	0	2	0	0.00	0.00	0.00	0.00	0.00	Matches
17	Jude Arthur Ekow	gh GHA	DF	SJK	20	1999	14	6	619	6.syys	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
18	Felipe Aspegren	fi FIN	DF	Ilves	25	1994	20	16	1,398	15.touko	0	1	0	0	3	0	0.00	0.06	0.06	0.00	0.06	Matches
19	Jasin Assehnoun	fi FIN	MF	Lahti	21	1998	22	20	1,785	19.elo	9	0	2	2	3	0	0.45	0.00	0.45	0.35	0.35	Matches
20	Serge Atakayi	fi FIN	FW	SJK	21	1999	19	15	1,443	16.0	1	1	0	0	3	0	0.06	0.06	0.12	0.06	0.12	Matches
21	Arttu Auranen	fi FIN	MF	Lahti	20	1999	3	0	5	0.1	1	0	0	0	0	0	18.00	0.00	18.00	18.00	18.00	Matches
22	Eero-Matti Auvinen	fi FIN	DF	HIFK	23	1996	15	15	1,276	14.helmi	1	0	0	0	2	0	0.07	0.00	0.07	0.07	0.07	Matches
23	Robbie Azodo	fi FIN	FW	FC Honka	18	2001	1	0	20	0.2	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
24	Gustaf Backaliden	se SWE	MF	IFK Mariehamn	22	1997	21	21	1,843	20.touko	3	1	1	1	3	0	0.15	0.05	0.20	0.10	0.15	Matches
25	Jani Bäckman	fi FIN	DF,FW	HIFK	31	1988	16	13	1,271	14.tammi	2	0	0	0	6	0	0.14	0.00	0.14	0.14	0.14	Matches
26	Yanga Baliso	za RSA		IFK Mariehamn	22	1997	4	1	107	1.helmi	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
27	Enoch Banza	fi FIN	FW	RoPS	19	2000	16	12	1,11	12.maalis	2	0	0	0	1	0	0.16	0.00	0.16	0.16	0.16	Matches
28	Dmytro Bilonoh	ua UKR	MF	IFK Mariehamn	24	1995	10	5	445	4.syys	1	0	0	0	2	0	0.20	0.00	0.20	0.20	0.20	Matches
29	Nikko Boxall	nz NZL	DF	SJK	27	1992	17	17	1,51	16.elo	0	0	0	0	4	0	0.00	0.00	0.00	0.00	0.00	Matches
30	Bruno Braz	pt POR	FW	KuPS	23	1996	5	1	113	1.maalis	0	1	0	0	0	0	0.00	0.80	0.80	0.00	0.80	Matches
31	David Browne	pg PNG	FW	HJK	24	1995	14	7	681	7.kesä	2	3	0	0	0	0	0.26	0.40	0.66	0.26	0.66	Matches
32	Kirill Bullat	fi FIN	MF	RoPS	16	2003	1	0	7	0.1	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
33	Jacob Bushue	us USA	MF	Haka	27	1992	20	18	1,553	17.maalis	0	0	0	0	9	0	0.00	0.00	0.00	0.00	0.00	Matches
34	Robin Buwalda	nl NED	DF	IFK Mariehamn	25	1994	11	10	809	9.0	0	0	0	0	5	0	0.00	0.00	0.00	0.00	0.00	Matches
35	Luis Carlos Murillo	co COL	DF	HJK	29	1990	20	19	1,555	17.maalis	0	3	0	0	3	0	0.00	0.17	0.17	0.00	0.17	Matches
36	Daniel Carr	tt TRI	FW	RoPS	25	1994	7	7	568	6.maalis	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
37	Dárvin Chávez	mx MEX	DF,MF	SJK	30	1989	4	2	207	2.maalis	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
38	Samuel Chidi	ng NGA	FW	Haka	29	1990	19	18	1,577	17.touko	3	0	0	0	3	0	0.17	0.00	0.17	0.17	0.17	Matches
39	Jean-Christophe Coubronne	fr FRA	DF	Lahti	30	1989	18	18	1,569	17.huhti	1	0	0	0	3	0	0.06	0.00	0.06	0.06	0.06	Matches
40	Yussif Daouda Moussa	ne NIG	MF	Ilves	21	1998	1	0	15	0.2	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
41	Rasmus Degerman	fi FIN	MF	RoPS	18	2001	20	3	604	6.heinä	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
42	Babacar Diop	sn SEN	FW	TPS	26	1993	10	3	396	4.huhti	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
43	Bubacar Djaló	pt POR	MF	HJK	22	1997	17	12	1,047	11.kesä	0	0	0	0	5	0	0.00	0.00	0.00	0.00	0.00	Matches
44	Alain Ebwelle	cm CMR	FW	IFK Mariehamn	24	1995	5	0	79	0.9	0	0	0	0	1	0	0.00	0.00	0.00	0.00	0.00	Matches
45	Jesper Engström	fi FIN	DF	Inter Turku	27	1992	15	9	826	9.helmi	1	2	0	0	1	0	0.11	0.22	0.33	0.11	0.33	Matches
46	Henri Eninful	tg TOG	MF	Lahti	27	1992	21	21	1,762	19.kesä	0	0	0	0	7	0	0.00	0.00	0.00	0.00	0.00	Matches
47	Eliécer Espinosa	co COL	FW	TPS	23	1996	1	0	16	0.2	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
48	John Fagerström	fi FIN	FW	HIFK	21	1998	15	7	756	8.huhti	1	0	0	0	4	0	0.12	0.00	0.12	0.12	0.12	Matches
